place_id,text,captions,labels,easting,northing
as00000,NEW CUT; New Cut Bridge; New Cut Bridge (Draw),"[""NEW CUT"", ""New Cut Bridge"", ""New Cut Bridge (Draw)""]",5,266107.3,193370.9
as00001,Old River,"[""Old River""]",1,276176.2,187479.3
as00002,old channel,"[""old channel""]",1,287440.4,71991.9
as00003,New Cut,"[""New Cut""]",1,315460.5,555268.4
as00004,New Cut; Old River Tone,"[""New Cut"", ""Old River Tone""]",2,324912.5,125829.0
as00005,New Cut,"[""New Cut""]",1,325935.6,314863.7
as00006,new cut,"[""new cut""]",1,331186.5,480366.3
as00007,OLD RIVER BRUE,"[""OLD RIVER BRUE""]",1,331461.6,147276.6
as00008,New Cut,"[""New Cut""]",2,331621.6,407111.9
as00009,Chedzoy New Cut,"[""Chedzoy New Cut""]",1,333452.5,136263.6
as00010,New Cut Brook; New Cut Farm; New Cut Lane,"[""New Cut Brook"", ""New Cut Farm"", ""New Cut Lane""]",3,334345.4,412564.1
as00011,Chedzoy New Cut,"[""Chedzoy New Cut""]",1,334889.8,135902.2
as00012,New Cut Brook; New Cut Lane Halt,"[""New Cut Brook"", ""New Cut Lane Halt""]",2,335713.0,411406.9
as00013,Old River Axe,"[""Old River Axe""]",1,336979.6,153630.9
as00014,New Cut,"[""New Cut""]",1,338744.4,164981.6
as00015,Old River Axe,"[""Old River Axe""]",1,339104.3,154938.2
as00016,Old Course of Langley's Brook,"[""Old Course of Langley's Brook""]",1,341601.4,414514.9
as00017,New Cut Farm; New Cut House; New Cut Lane,"[""New Cut Farm"", ""New Cut House"", ""New Cut Lane""]",3,345340.3,397792.4
as00018,Old course of River Asland or Douglas,"[""Old course of River Asland or Douglas""]",1,345724.0,419356.4
as00019,New Cut Bridge,"[""New Cut Bridge""]",1,347490.8,414928.2
as00020,Old River Brock,"[""Old River Brock""]",1,347682.3,440851.3
as00021,Old River Brock,"[""Old River Brock""]",1,348870.1,439639.7
as00022,New Cut; New Cut Drove,"[""New Cut"", ""New Cut Drove""]",2,350120.7,136739.2
as00023,Old River Bed,"[""Old River Bed""]",1,350592.4,429497.6
as00024,New Cut,"[""New Cut""]",1,351352.6,136153.8
as00025,St. Helens Canal (New Cut),"[""St. Helens Canal (New Cut)""]",1,352163.3,384869.2
as00026,St. Helens Canal (New Cut),"[""St. Helens Canal (New Cut)""]",1,354780.9,385804.4
as00027,new cut,"[""new cut""]",1,354960.7,147337.4
as00028,RIVER AVON (NEW CUT),"[""RIVER AVON (NEW CUT)""]",1,357699.5,172124.3
as00029,NEW RIVER DIVERSION,"[""NEW RIVER DIVERSION""]",1,360400.2,386877.9
as00030,WOOLSTON NEW CUT,"[""WOOLSTON NEW CUT""]",1,363621.3,388994.2
as00031,NEW CUT,"[""NEW CUT""]",1,365184.7,368658.3
as00032,Old Course of Middle Brook,"[""Old Course of Middle Brook""]",1,365675.5,408572.7
as00033,River Mersey (Old Course),"[""River Mersey (Old Course)""]",1,371509.2,392650.7
as00034,River Irwell (Old Course),"[""River Irwell (Old Course)""]",1,372517.2,394261.1
as00035,River Irwell (Old Course),"[""River Irwell (Old Course)""]",1,373383.2,395425.0
