place_id,text,captions,labels,easting,northing
mc00000,Mill Pond,"[""Mill Pond""]",1,143380.7,28998.6
mc00001,Mill Leat,"[""Mill Leat""]",3,144202.9,29007.2
mc00002,Mill Leat,"[""Mill Leat""]",1,144329.5,25039.9
mc00003,Mill Pond,"[""Mill Pond""]",1,144658.6,24682.0
mc00004,Mill Pond,"[""Mill Pond""]",1,146492.1,31430.3
mc00005,MILL POOL,"[""MILL POOL""]",1,146857.9,26333.1
mc00006,Mill Ponds,"[""Mill Ponds""]",1,154679.8,34633.5
mc00007,mill pond,"[""mill pond""]",1,155835.1,36887.4
mc00008,mill pond,"[""mill pond""]",1,157075.1,38028.9
mc00009,mill leat,"[""mill leat""]",1,157459.9,38710.6
mc00010,mill pond,"[""mill pond""]",1,157751.3,38790.6
mc00011,mill pond,"[""mill pond""]",1,158840.1,37768.0
mc00012,mill ponds,"[""mill ponds""]",1,161519.4,39499.8
mc00013,mill leat,"[""mill leat""]",1,163291.4,38425.4
mc00014,Mill Leat,"[""Mill Leat""]",1,164360.0,29899.0
mc00015,Mill Pond,"[""Mill Pond""]",2,164458.3,29671.5
mc00016,Mill Pond,"[""Mill Pond""]",1,164807.7,34390.7
mc00017,Mill Race,"[""Mill Race""]",1,165602.5,28192.2
mc00018,Mill Race,"[""Mill Race""]",1,165988.4,29648.0
mc00019,Mill Leat,"[""Mill Leat""]",1,167180.3,30639.9
mc00020,Mill Leat,"[""Mill Leat""]",1,167699.9,44985.9
mc00021,Mill Leat,"[""Mill Leat""]",2,168314.6,27012.2
mc00022,Mill Leat,"[""Mill Leat""]",1,168413.0,20578.0
mc00023,Mill Pond,"[""Mill Pond""]",1,168612.6,35335.0
mc00024,Mill Leat,"[""Mill Leat""]",1,169462.4,26308.6
mc00025,Mill Leat,"[""Mill Leat""]",1,170004.0,22875.3
mc00026,Mill Race,"[""Mill Race""]",1,170470.0,27180.3
mc00027,mill pond,"[""mill pond""]",1,170877.9,46278.2
mc00028,Mill Race,"[""Mill Race""]",1,171815.4,24532.3
mc00029,Mill Pond,"[""Mill Pond""]",1,172306.6,15679.5
mc00030,Old Mill Race,"[""Old Mill Race""]",1,172320.8,35967.7
mc00031,Mill Pond,"[""Mill Pond""]",1,172399.6,223577.9
mc00032,Mill Leat,"[""Mill Leat""]",1,172757.4,30576.7
mc00033,Mill Pond,"[""Mill Pond""]",1,172829.7,30399.0
mc00034,Mill Race,"[""Mill Race""]",1,174621.2,225196.6
mc00035,Mill Race,"[""Mill Race""]",1,175036.1,226165.6
mc00036,Mill Race,"[""Mill Race""]",1,175372.5,22712.4
mc00037,Mill Leat,"[""Mill Leat""]",1,175820.8,28400.2
mc00038,Old Mill Race,"[""Old Mill Race""]",1,175940.2,21505.4
mc00039,Mill Pond,"[""Mill Pond""]",2,176635.0,224597.7
mc00040,Mill Race,"[""Mill Race""]",1,176712.7,224590.5
mc00041,Mill Pond,"[""Mill Pond""]",1,176787.7,227281.3
mc00042,Mill Leat,"[""Mill Leat""]",2,177338.1,52620.4
mc00043,Mill Race,"[""Mill Race""]",1,177834.3,22029.2
mc00044,Mill Pond,"[""Mill Pond""]",1,177841.1,35018.4
mc00045,Mill Pond,"[""Mill Pond""]",1,177995.8,18361.8
mc00046,Mill Leat,"[""Mill Leat""]",1,178014.2,59951.0
mc00047,Mill Pond,"[""Mill Pond""]",1,178252.6,51230.9
mc00048,Mill Pond,"[""Mill Pond""]",1,178335.2,60011.4
mc00049,Mill Pond,"[""Mill Pond""]",1,180306.7,56278.2
mc00050,Mill Leat,"[""Mill Leat""]",1,180444.0,56290.8
mc00051,Mill Race,"[""Mill Race""]",2,180722.6,226454.5
mc00052,Mill Leat,"[""Mill Leat""]",1,180903.5,45707.7
mc00053,Mill Race,"[""Mill Race""]",1,180983.3,224691.1
mc00054,Mill Ponds,"[""Mill Ponds""]",1,181244.5,208732.6
mc00055,Mill Race,"[""Mill Race""]",1,181490.7,49474.2
mc00056,Old Leat,"[""Old Leat""]",1,181591.0,45202.9
mc00057,Mill Race,"[""Mill Race""]",1,181775.6,43139.8
mc00058,Mill Leat,"[""Mill Leat""]",1,181791.6,59532.3
mc00059,Old Mill Leat,"[""Old Mill Leat""]",3,181972.1,59379.1
mc00060,Mill Pond,"[""Mill Pond""]",1,182016.8,209141.7
mc00061,Mill Leat,"[""Mill Leat""]",1,182063.5,56424.1
mc00062,Mill Pond,"[""Mill Pond""]",1,182165.5,56303.3
mc00063,Mill Race,"[""Mill Race""]",1,182283.8,227225.6
mc00064,Mill Race,"[""Mill Race""]",2,182319.6,47468.7
mc00065,Mill Race,"[""Mill Race""]",1,182479.6,45972.0
mc00066,Mill Pond,"[""Mill Pond""]",1,182749.2,47977.0
mc00067,Mill Race,"[""Mill Race""]",1,182873.0,49859.0
mc00068,Mill Race,"[""Mill Race""]",1,183434.7,227407.2
mc00069,Mill Race,"[""Mill Race""]",1,184176.3,57488.3
mc00070,Mill Race,"[""Mill Race""]",1,185215.6,62112.2
mc00071,Mill Race,"[""Mill Race""]",1,185389.8,233405.4
mc00072,Old Mill Race,"[""Old Mill Race""]",1,185479.6,45699.2
mc00073,Mill Leat,"[""Mill Leat""]",1,185499.2,69689.7
mc00074,Old Mill Race,"[""Old Mill Race""]",1,185551.0,212582.5
mc00075,Mill Pond,"[""Mill Pond""]",2,185605.5,69491.6
mc00076,Mill Leat,"[""Mill Leat""]",1,185667.2,59126.7
mc00077,Old Mill Race,"[""Old Mill Race""]",1,186115.3,36671.3
mc00078,Mill Race,"[""Mill Race""]",1,186188.5,218676.5
mc00079,Mill Race,"[""Mill Race""]",1,186367.8,62104.7
mc00080,Mill Race,"[""Mill Race""]",1,186413.1,71640.6
mc00081,Old Mill Race,"[""Old Mill Race""]",1,186597.7,209163.2
mc00082,Mill Leat,"[""Mill Leat""]",1,186598.6,73544.4
mc00083,Old Mill Race,"[""Old Mill Race""]",1,186683.1,222553.7
mc00084,Mill Race,"[""Mill Race""]",1,186756.1,66417.9
mc00085,Mill Pond,"[""Mill Pond""]",1,187202.3,73331.6
mc00086,Old Mill Pond,"[""Old Mill Pond""]",1,187486.1,59246.6
mc00087,Mill Race,"[""Mill Race""]",1,187495.8,222315.5
mc00088,Mill Race,"[""Mill Race""]",1,187557.9,70370.8
mc00089,Mill Race,"[""Mill Race""]",1,187594.7,50480.0
mc00090,Mill Pond,"[""Mill Pond""]",1,187711.2,219470.0
mc00091,Mill Race,"[""Mill Race""]",1,188210.0,47333.4
mc00092,Mill Race,"[""Mill Race""]",2,188302.2,223803.1
mc00093,Mill Race,"[""Mill Race""]",1,188342.1,53521.7
mc00094,Mill Race,"[""Mill Race""]",3,188440.4,61728.0
mc00095,Mill Race,"[""Mill Race""]",1,188472.4,233424.0
mc00096,Old Mill Race,"[""Old Mill Race""]",1,188563.1,65076.7
mc00097,Mill Race,"[""Mill Race""]",2,189154.0,235058.9
