place_id,text,captions,labels,easting,northing
tp00000,Towing Path,"[""Towing Path""]",1,266854.2,196908.1
tp00001,Towing Path,"[""Towing Path""]",1,267222.4,198344.1
tp00002,Towing Path,"[""Towing Path""]",1,267474.6,192846.0
tp00003,Towing Path,"[""Towing Path""]",1,267929.6,199682.9
tp00004,Towing Path,"[""Towing Path""]",1,268699.0,193487.1
tp00005,Towing Path,"[""Towing Path""]",1,269086.6,201193.2
tp00006,Old Towing Path,"[""Old Towing Path""]",1,269314.0,194919.5
tp00007,Towing Path,"[""Towing Path""]",1,270188.1,201653.0
tp00008,Towing Path,"[""Towing Path""]",1,271460.8,194073.8
tp00009,Towing Path,"[""Towing Path""]",1,271528.3,203128.5
tp00010,Towing Path,"[""Towing Path""]",1,272597.3,204221.2
tp00011,Towing Path,"[""Towing Path""]",4,273319.3,196794.9
tp00012,Towing Path,"[""Towing Path""]",2,273461.3,195275.1
tp00013,Towing Path,"[""Towing Path""]",1,274282.9,205948.9
tp00014,Towing Path,"[""Towing Path""]",1,275143.7,197989.3
tp00015,Towing Path,"[""Towing Path""]",1,275276.1,206510.5
tp00016,Towing Path,"[""Towing Path""]",3,276430.9,198541.8
tp00017,Towing Path,"[""Towing Path""]",1,277786.6,209713.3
tp00018,Towing Path,"[""Towing Path""]",1,278723.5,199597.3
tp00019,Towing Path,"[""Towing Path""]",1,280024.5,211571.2
tp00020,Towing Path,"[""Towing Path""]",1,280695.3,201509.9
tp00021,Towing Path,"[""Towing Path""]",1,282126.5,202726.1
tp00022,Towing Path,"[""Towing Path""]",2,285530.1,204856.8
tp00023,Towing Path; towing path,"[""Towing Path"", ""towing path""]",2,286578.4,72420.4
tp00024,Towing Path,"[""Towing Path""]",1,287581.6,206173.2
tp00025,Towing Path,"[""Towing Path""]",2,292946.2,90421.7
tp00026,Towing Path,"[""Towing Path""]",2,294245.3,89338.8
tp00027,Towing Path,"[""Towing Path""]",2,296282.9,87863.6
tp00028,Towing Path,"[""Towing Path""]",1,297634.3,112300.6
tp00029,Towing Path,"[""Towing Path""]",1,299369.5,112073.2
tp00030,Towing Path,"[""Towing Path""]",1,299695.2,113849.0
tp00031,Towing Path,"[""Towing Path""]",1,301581.9,202094.3
tp00032,Towing Path,"[""Towing Path""]",1,302324.3,113562.5
tp00033,Towing Path,"[""Towing Path""]",1,302655.0,200906.9
tp00034,Towing Path,"[""Towing Path""]",1,303534.1,114602.5
tp00035,Towing Path,"[""Towing Path""]",1,303936.6,199619.3
tp00036,Towing Path,"[""Towing Path""]",1,304666.4,205991.2
tp00037,Towing Path,"[""Towing Path""]",1,305092.5,204933.6
tp00038,Towing Path,"[""Towing Path""]",1,305389.7,227935.1
tp00039,Towing Path,"[""Towing Path""]",1,305453.9,198477.6
tp00040,Towing Path,"[""Towing Path""]",1,305619.2,115845.6
tp00041,Towing Path,"[""Towing Path""]",1,306177.5,203263.1
tp00042,Towing Path,"[""Towing Path""]",1,307027.4,196962.6
tp00043,Towing Path,"[""Towing Path""]",1,307110.0,200855.1
tp00044,Towing Path,"[""Towing Path""]",1,307117.2,117800.3
tp00045,Towing Path,"[""Towing Path""]",1,307311.7,199192.9
tp00046,Towing Path,"[""Towing Path""]",1,307478.3,227180.7
tp00047,Towing Path,"[""Towing Path""]",1,308362.7,195532.1
